label,sent_tnx,received_tnx,avg_min_between_sent_tnx,avg_min_between_received_tnx,time_diff_between_first_and_last_mins,number_of_created_contracts,total_ether_sent,total_ether_balance,avg_val_sent,avg_val_received,max_value_received
0,721,89,844.26,1093.71,704785.63,0,865.6910932,-279.2244185,1.200681,6.589513,45.806785
0,94,8,12709.07,2958.44,1218216.73,0,3.08729702,-0.001818811,0.032844,0.385685,2.613269
0,2,10,246194.54,2434.02,516729.3,0,3.58861565,0.000441,1.7943080000000002,0.358906,1.165453
0,25,9,10219.6,15785.09,397555.9,0,1750.0458620000004,-854.6463028999998,70.001834,99.48884,500.0
0,4598,20,36.61,10707.77,382472.42,1,104.3188828,-50.89698629,0.022688,2.671095,12.802411
0,2,3,9900.12,375.48,20926.68,0,9.70371586,0.001008,4.851858,3.2349080000000003,4.813776
0,25,11,69.46,629.44,8660.35,0,12.0623941,0.016871896,0.482496,1.098115,2.65
0,213,5,1497.39,176.84,319828.05,0,8.703392156,-4.2479024160000005,0.040861,0.891098,2.0
0,1,1,0.0,0.0,496.62,0,1.99938,0.00062,1.99938,2.0,2.0
0,8,3,2570.59,3336.01,30572.7,0,149.077,-98.977,18.634625,16.7,40.0
0,10,10,32.45,12921.57,129540.15,0,10.04055439,0.007636018,1.004055,1.004819,1.014875
0,8,246,3716.41,1448.09,385961.98,0,831.799,0.004047714,103.974875,3.381313,81.38600000000002
0,0,16,0.0,12431.27,198900.25,1,0.0,12.30665958,0.0,0.769166,1.002069
0,7,2,9520.7,5776.32,78197.58,0,0.262941117,0.097217423,0.037563,0.180079,0.265159
0,32,24,14106.66,3742.82,540061.9,0,3273.988723,-1422.982347,102.312148,77.125266,1499.9995800000004
0,34,3,757.91,11.08,25802.32,1,1.5051029580000002,0.086741405,0.044268,0.530615,1.0
0,57,57,3.13,4923.24,280803.43,0,11.6048114,0.023940002,0.203593,0.204013,0.277689
0,26,11,27681.45,11171.03,842599.05,0,257.307,-75.09543387,9.896423,16.564688,34.94
0,3,2,770.29,3.82,2318.5,0,27.765677,0.001323,9.255226,13.8835,19.995
0,2,2,163.78,1.11,329.78,0,100.9989738,0.001026218,50.499487,50.5,56.95111800000001
0,0,18,0.0,6324.45,113840.02,1,0.0,101.9235724,0.0,5.662421,12.782766
0,7,7,725.77,41108.66,292841.02,0,157.09235049999995,-98.24164672,22.441764000000006,8.407243,17.949074
0,5,4,91.14,64.3,712.88,0,8.747754943,0.002245057,1.749551,2.1875,5.0
0,8,126,2477.34,6928.28,892782.2,0,10.1,33.07587621,1.2625,0.342666,0.501254
0,0,17,0.0,13339.9,226778.27,1,0.0,82.62366163,0.0,4.860215,11.291416
0,1,1,0.0,0.0,30.65,0,4.99774,0.00126,4.99774,4.999,4.999
0,82,3,1797.42,60933.08,330187.83,0,62.341,-27.341,0.760256,11.666667,30.0
0,1,1,0.0,0.0,68.87,0,0.54638892,0.00126,0.546389,0.5476489999999999,0.5476489999999999
0,4,3,155.22,112602.93,338429.65,0,8.419634776,-3.882478376,2.104909,1.512385,2.337156
0,59,14,14626.26,6594.93,955278.0,0,2540.083853,-188.368881,43.052269,167.979641,1100.0
